,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Cocoa Level,Number_of_Ingredients,Ingredient Level,Rating,Rating Level,Ingredients_abbr,Most Memorable Characteristics
1098,Johnny Iuzzini,U.S.A.,2017,Ecuador,"Costa Esmeralda, Batch 30",0.78,High percent,4,4,3.75,Mid-level,"B,S,C,L","full bodied, floral"
1099,Ritual,U.S.A.,2017,Mexico,Xoconusco,0.75,High percent,3,3,3.75,Mid-level,"B,S,C","smooth, coffee, rich cocoa"
1102,Stone Grindz,U.S.A.,2017,Bolivia,"Wild Bolivia, batch 260",0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","fatty, rubber, off notes"
1107,Dick Taylor,U.S.A.,2017,Solomon Islands,"Solomon Is.,batch 17158, N.Vela",0.72,Mid percent,2,2,4.0,Highest,"B,S","well defined, creamy, cherry"
1109,Arete,U.S.A.,2017,India,Anamalai,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","slight roasty, basic cocoa"
1110,Arete,U.S.A.,2017,Madagascar,Sambirano Valley,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C",sour fruit
1111,Arete,U.S.A.,2017,Vietnam,Ben Tre,0.73,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich cocoa, mild roasty"
1113,Fresco,U.S.A.,2017,Guatemala,"Polochic Valley, LR, LC, batch 17-203",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich cocoa, mild, fatty"
1114,Fresco,U.S.A.,2017,Guatemala,"Polochic Valley, MR, LC, batch 17-189",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","long lasting, fruit, spicy"
1115,Arete,U.S.A.,2017,Bolivia,Beniano,0.7,Mid percent,2,2,4.0,Highest,"B,S","creamy, bright fruit"
1116,Dandelion,U.S.A.,2017,Costa Rica,"Hacienda Azul, 2016 Harvest",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","cocoa, sour, toffee, earthy"
1117,Fresco,U.S.A.,2017,Guatemala,"Polochic Valley, DR, LC, batch 17-201",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich cocoa, nuts"
1118,Arete,U.S.A.,2017,Peru,Ucayali,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","dried fruit, fig, anise"
1119,Arete,U.S.A.,2017,Haiti,Pisa,0.7,Mid percent,2,2,4.0,Highest,"B,S","long lasting, cocoa"
1121,Goodnow Farms,U.S.A.,2017,Peru,"Ucayali, batch 1041",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","creamy, fig"
1122,Manoa,U.S.A.,2017,Peru,Ucayali,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","sweet, fatty, fig"
1123,Raaka,U.S.A.,2017,Haiti,"Pisa, unroasted",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C",green
1124,Raaka,U.S.A.,2017,Haiti,"Pisa, roasted",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C",basic cocoa
1129,Harper Macaw,U.S.A.,2018,Brazil,Libiano,0.75,High percent,3,3,3.0,Mid-level,"B,S,C","flat, late tart notes"
1130,Map Chocolate,U.S.A.,2018,Dominican Republic,Zorzal Reserve,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","complex, creamy, cherry"
1132,Durci,U.S.A.,2018,Peru,Piura Blanco ,0.7,Mid percent,3,3,4.0,Highest,"B,S,C","smoth, dense, grape"
1135,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","sweet, coarse, nutty"
1161,Arete,U.S.A.,2018,Trinidad,Ramnath E.,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","nuts, dried fruit, short"
1162,Solstice,U.S.A.,2018,India,Anamalai,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","molasses undertone, tangy"
1169,Potomac,U.S.A.,2018,Colombia,Tumaco,0.7,Mid percent,2,2,4.0,Highest,"B,S","marshmallow, distinquished"
1170,Cacao Gonzales,U.S.A.,2018,Venezuela,Chuao,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","poor texture, earthy"
1172,River-Sea,U.S.A.,2018,Tanzania,"Kokoa Kamili, Morogoro",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","muted, heavy roast"
1173,Chocolibrium,U.S.A.,2018,India,"Anamalai, Tamil Nadu",0.63,Mid percent,3,3,2.5,Mid-level,"B,S,C","sandy, tart, ham, sweet"
1174,Chocolibrium,U.S.A.,2018,Guatemala,"Monte Grande Plantation, Coatepeque",0.76,High percent,2,2,2.75,Mid-level,"B,S","high astringent, fruit, roasty"
1175,Chocolibrium,U.S.A.,2018,Peru,Ucayali,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","sandy, sweet"
1188,White Label aka Mutari,U.S.A.,2018,Tanzania,Kokoa Kamili,0.68,Mid percent,3,3,3.0,Mid-level,"B,S,C","nuts, fruit, poor aftertaste"
1190,White Label aka Mutari,U.S.A.,2018,Bolivia,Alto Beni,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","creamy, fruit, poor aftertaste"
1191,Brasstown,U.S.A.,2018,Bolivia,"Wild Bolivia, Sucre",0.7,Mid percent,3,3,4.0,Highest,"B,S,C","nuts, fruit"
1193,Johnny Iuzzini,U.S.A.,2018,India,"Anamalai, batch 8",0.66,Mid percent,4,4,3.0,Mid-level,"B,S,C,L","gritty, coffee, sweet, hammy"
1197,Johnny Iuzzini,U.S.A.,2018,Colombia,"Tumaco, batch 2",0.73,Mid percent,4,4,3.25,Mid-level,"B,S,C,L","complex, bold, gritty"
1198,Johnny Iuzzini,U.S.A.,2018,Trinidad,"Tabaquite, batch 12",0.8,High percent,4,4,3.25,Mid-level,"B,S,C,L","bold, spice, sour fruit, gritty"
1199,Seahorse,U.S.A.,2018,Honduras,Wampusirpi,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","dry, earthy, surface mark"
1200,Seahorse,U.S.A.,2018,Tanzania,Kokoa Kamili,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","sticky, cherry, cocoa"
1201,Seahorse,U.S.A.,2018,Dominican Republic,Zorzal,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","earthy, mild fruit, sticky"
1202,Bixby,U.S.A.,2018,Haiti,Haiti,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","floral, molasses, chemical"
1210,Bixby,U.S.A.,2018,Guatemala,Guatemala,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","molasses, earthy, spicy"
1211,Bixby,U.S.A.,2018,Dominican Republic,Dominican Republic,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","sweet, sour milk"
1213,Primo Botanica,U.S.A.,2018,Tanzania,"Kokoa Kamili, 2018 Harvest",0.75,High percent,2,2,3.25,Mid-level,"B,S*","sour palm, rich cocoa, fruit"
1214,Primo Botanica,U.S.A.,2018,Peru,Choba Choba,0.75,High percent,2,2,3.25,Mid-level,"B,S*","molasses, coffee, cocoa"
1219,Letterpress,U.S.A.,2018,Ghana,Ashanti,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C",brownie
1225,Rogue,U.S.A.,2008,Dominican Republic,"Hispaniola, 2008",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","nutty, earthy, mild off note"
1226,Rogue,U.S.A.,2008,Jamaica,Jamaica,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","sandy, heavy roast, woody"
1227,Rogue,U.S.A.,2008,Madagascar,"Sambirano, 2008",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","raisins, sour, roasty"
1228,Rogue,U.S.A.,2008,Trinidad,Trinidad,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","dry, honey, roasty"
1235,Nibble,U.S.A.,2018,Brazil,Bahia,0.72,Mid percent,2,2,3.0,Mid-level,"B,S",notes from sugar
1236,Chocolates by Josh (Box Chocolate),U.S.A.,2018,Dominican Republic,Zorzal,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","spicy, banana"
1237,La Chorena,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","anise, spicy, earthy"
1238,La Chorena,U.S.A.,2018,Peru,Maranon,0.75,High percent,2,2,3.0,Mid-level,"B,S","earthy, molasses, dried fruit"
1239,La Chorena,U.S.A.,2018,Belize,"Maya Mtn, Toledo",0.7,Mid percent,4,4,3.25,Mid-level,"B,S,C,L","molasses, high acidity"
1240,La Chorena,U.S.A.,2018,Guatemala,"Lachua, Cacao Verapaz",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","tart, molasses, grits"
1244,Ethereal,U.S.A.,2018,Guatemala,Guatemala,0.8,High percent,3,3,3.5,Mid-level,"B,S,C",prominent plum note
1245,hexx,U.S.A.,2018,Ecuador,"Camino Verde, batch 0722",0.73,Mid percent,2,2,2.5,Mid-level,"B,S*","harsh flavor, hay"
1246,hexx,U.S.A.,2018,Dominican Republic,"Oko Caribe, batch 0719",0.71,Mid percent,2,2,3.5,Mid-level,"B,S*","fruity, tannic, coconut"
1247,Jean Marie Auboine,U.S.A.,2018,Venezuela,"Venezuela, batch 107",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","sandy, sweet"
1249,hexx,U.S.A.,2018,Peru,"Maranon, batch 0723",0.7,Mid percent,2,2,2.25,Lowest,"B,S*","light color, sour, pungent"
1250,hexx,U.S.A.,2018,Madagascar,"Sambirano Valley, batch 0124",0.74,Mid percent,2,2,2.75,Mid-level,"B,S*","sour, citrus, molasses"
1251,hexx,U.S.A.,2018,Tanzania,"Kokoa Kamili, batch 0214",0.7,Mid percent,2,2,3.0,Mid-level,"B,S*","lemon, late sour & molasses"
1252,Five (5)Mile,U.S.A.,2018,Dominican Republic,"Oko Caribe, San Fran. De Mac.,batch A",0.75,High percent,2,2,3.5,Mid-level,"B,S","roasty, simple"
1253,Casa,U.S.A.,2018,Blend,"Ecuador, Vietnam",0.75,High percent,2,2,2.0,Lowest,"B,S","off notes, vanilla"
1254,Five (5)Mile,U.S.A.,2018,Belize,"Maya Mtn, batch 7C",0.75,High percent,2,2,2.75,Mid-level,"B,S","hammy, dried fruit"
1255,Five (5)Mile,U.S.A.,2018,Guatemala,"Monte Grande, batch 18",0.75,High percent,2,2,2.75,Mid-level,"B,S","hammy, large grits"
1256,Five (5)Mile,U.S.A.,2018,Colombia,"Tumaco, batch 23abc",0.75,High percent,2,2,3.0,Mid-level,"B,S","high acidity, bitter, nutty"
1257,Markham & Fitz,U.S.A.,2018,Haiti,"Pisa, batch 58",0.75,High percent,2,2,2.75,Mid-level,"B,S","dried fruit, woody, dirty"
1258,Ninth (9th) & Larkin,U.S.A.,2018,Tanzania,"Kokoa Kamili, Kilobmbero batch TK186",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","sweet, melon notes"
1259,Raphio,U.S.A.,2018,Tanzania,"Kokoa Kamili, Kilombero batch IT7507",0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C","creamy, complex, maple"
1260,Raphio,U.S.A.,2018,Peru,"El Gran Sapasoa, batch IP7487",0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C",dominant spice
1264,Ninth (9th) & Larkin,U.S.A.,2018,Vietnam,"Ben Tre, batch VNBT186",0.72,Mid percent,3,3,2.75,Mid-level,"B,S,C","spicy, vanilla, sweet"
1268,Raphio,U.S.A.,2018,Ecuador,Camino Verde,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","floral, malt, high astringcy "
1270,Moka Origins,U.S.A.,2018,Cameroon,"Kombone Village, 2018 Harvest",0.68,Mid percent,2,2,3.0,Mid-level,"B,S",earthy
1273,Fresco,U.S.A.,2018,Venezuela,"Chuao, MR, SC, batch 18-224",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","roasty, mild fatty"
1274,Fresco,U.S.A.,2018,Venezuela,Carupano Pintao,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","complex, nuts, spice, floral"
1276,Ninth (9th) & Larkin,U.S.A.,2018,Dominican Republic,Oko Caribe,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","basic cocoa, sour ending"
1277,Vivra,U.S.A.,2018,Bolivia,Alto Beni,0.7,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,L","earthy, vanilla"
1278,Dandelion,U.S.A.,2018,Sierra Leone,"Gola Rainforest, 2017 harvest",0.7,Mid percent,2,2,3.0,Mid-level,"B,S","vegetal, high astringency"
1279,Dandelion,U.S.A.,2018,Honduras,"WAMPU, La Mosquitia, 2017 harvest",0.7,Mid percent,2,2,3.25,Mid-level,"B,S","nutty, moderate acidity"
1280,Dandelion,U.S.A.,2018,India,"Anamalai, 2017 harvest",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","ripe orange, citrus "
1284,Vivra,U.S.A.,2018,Haiti,"Pisa, Adul de Nord",0.7,Mid percent,5,5,2.5,Mid-level,"B,S,C,V,L","vanilla, late cocoa notes"
1287,Vicuna,U.S.A.,2018,Bolivia,Palos Blancos,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","smokey, earthy, nutty"
1288,Vicuna,U.S.A.,2018,Guatemala,Alta Verapaz,0.7,Mid percent,2,2,3.0,Mid-level,"B,S","earthy, sour, intense"
1292,Vicuna,U.S.A.,2018,Dominican Republic,San Francisco de Macoris,0.7,Mid percent,2,2,3.25,Mid-level,"B,S","dark berry, roasty"
1293,Gotham,U.S.A.,2018,Belize,Maya Mtn,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","fruit, tart, rubber"
1296,Brasstown,U.S.A.,2018,Peru,Ucayali,0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","sweet, rich mocha, acidic"
1299,Moka Origins,U.S.A.,2018,Brazil,Brazil,0.72,Mid percent,3,3,2.5,Mid-level,"B,S,C","dirty, rubbery, spicy"
1300,ENNA,U.S.A.,2018,Vietnam,"Ben Tre, batch 77",0.72,Mid percent,2,2,3.0,Mid-level,"B,S","intens, brownie, spicy, metal"
1305,Chequessett,U.S.A.,2018,Peru,Ucayali River,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","spicy, chocolatey, atypical"
1323,Monsoon,U.S.A.,2018,Mexico,Chiapas,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","chalky, powdery, molasses"
1330,Christopher Elbow,U.S.A.,2018,Peru,Ucayali,0.75,High percent,3,3,3.75,Mid-level,"B,S,C","bold, spice, hit of anise"
1357,Christophe Toury,U.S.A.,2018,Peru,"Ucayali, batch 1 ",0.7,Mid percent,2,2,2.75,Mid-level,"B,S","sweet, sandy, spicy"
1360,Arete,U.S.A.,2018,Colombia,Tumaco,0.7,Mid percent,2,2,4.0,Highest,"B,S","smooth, nutty, cocoa"
1361,Brasstown,U.S.A.,2018,Ecuador,Esmeraldas,0.75,High percent,3,3,3.5,Mid-level,"B,S,C","balanced, floral, honey"
1363,Perrenial,U.S.A.,2018,Fiji,Fiji,0.75,High percent,3,3,3.0,Mid-level,"B,S*,C","mild smokey, black licorice"
1364,Dick Taylor,U.S.A.,2018,Fiji,"Vanua Levu, Matasawalevu",0.8,High percent,2,2,3.75,Mid-level,"B,S","cocoa, tea, malt"
1366,Map Chocolate,U.S.A.,2018,Blend,"""Peace of Wild Things""",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","off notes, rubbery, hammy"
1367,Map Chocolate,U.S.A.,2018,Mexico,"Tabasco, ""Late for the Train"", batch 12184",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","sweet, spicy, dirty"
1368,Taste Artisan,U.S.A.,2019,Venezuela,"Chuao, batch 20170714C",0.75,High percent,4,4,3.0,Mid-level,"B,S,C,V","vanilla, fatty"
1373,Scharffen Berger,U.S.A.,2008,Blend,"Finisterra, Ven., Trinidad, Mad.",0.72,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","grassy, black pepper, smoke"
1379,Dick Taylor,U.S.A.,2019,Belize,"Maya Mtn, Toledo",0.72,Mid percent,2,2,4.0,Highest,"B,S","creamy, sticky, dried fruit"
1380,Parre Chocolat,U.S.A.,2019,Guatemala,Guatemala,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","fatty, woody, poor aftertaste"
1381,Parre Chocolat,U.S.A.,2019,Dominican Republic,Dominican Republic,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","rubbery, buttery, soil"
1384,Fruition,U.S.A.,2019,Madagascar,"Sambirano, Akessons, batch 1",0.74,Mid percent,2,2,3.75,Mid-level,"B,S","balanced, fruit, nut, roasty"
1385,Parre Chocolat,U.S.A.,2019,Colombia,Colombia,0.75,High percent,3,3,3.0,Mid-level,"B,S,C","nut, roasty, high astringent"
1390,Ninth (9th) & Larkin,U.S.A.,2019,Fiji,"Matasawalevu, batch FJMA1",0.74,Mid percent,3,3,2.75,Mid-level,"B,S,C","sour, rubbery, off"
1391,Ritual,U.S.A.,2019,Nicaragua,"La Colonia, Enliven Cacao",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","complex, honey, fruit, nut"
1396,Bankston,U.S.A.,2019,Belize,Belize,0.72,Mid percent,3,3,2.5,Mid-level,"B,S,C","gritty, fatty, sour, off"
1401,Bankston,U.S.A.,2019,Uganda,Uganda,0.82,High percent,3,3,2.75,Mid-level,"B,S,C","bitter, fatty, mild fruit"
1402,Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","base cocoa, mild fruit, roasty"
1417,Christopher Elbow,U.S.A.,2019,Dominican Republic,Oko Caribe,0.72,Mid percent,3,3,3.75,Mid-level,"B,S,C","smooth, spicy, cocoa"
1418,Christopher Elbow,U.S.A.,2019,Costa Rica,"Hacienda Azul, 2017 harvest",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","cocoa, woody, basic"
1419,Christopher Elbow,U.S.A.,2019,Ecuador,"Camino Verde, 2017 harvest",0.73,Mid percent,3,3,3.5,Mid-level,"B,S,C","rich cocoa, floral, acidic"
1420,Christopher Elbow,U.S.A.,2019,Tanzania,"Kokoa Kamili, 2017 harvest",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","basic cocoa,mild fruit, sweet"
1421,Christopher Elbow,U.S.A.,2019,Brazil,"Fazenda Camboa, 2017 harvest",0.7,Mid percent,3,3,4.0,Highest,"B,S,C","creamy, dried fruit, nutty"
1424,Castronovo,U.S.A.,2019,Mexico,"Xoconusco, criollo, batch 834",0.7,Mid percent,3,3,3.75,Mid-level,"B,S,C","smooth, caramel, dried fruit"
1425,Christopher Elbow,U.S.A.,2019,Vietnam,"Vietnam, Marou 2017 harvest",0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","roasty, hammy, nutty"
1433,Taste Artisan,U.S.A.,2019,Peru,Amazonas ,0.75,High percent,3,3,3.25,Mid-level,"B,S,C","blackberry, dirt, high roast"
1434,Taste Artisan,U.S.A.,2019,Peru,Piura,0.75,High percent,3,3,4.0,Highest,"B,S,C",fig
1436,Bittersweet Origins,U.S.A.,2008,Madagascar,Sambirano,0.71,Mid percent,2,2,3.0,Mid-level,"B,S","rich cocoa, red berry, sour"
1437,Bittersweet Origins,U.S.A.,2008,Panama,Bocas del Toro,0.75,High percent,2,2,3.5,Mid-level,"B,S","intense, rum, tea"
1438,Bittersweet Origins,U.S.A.,2008,Dominican Republic,Puerto Plata,0.68,Mid percent,2,2,3.75,Mid-level,"B,S","nutty, astringent"
1440,Arete,U.S.A.,2019,India,Jangareddygudem,0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","herbs, mushroom, acidic"
1441,Raphio,U.S.A.,2019,Dominican Republic,"Oko Caribe, San Fran. De Macoris, El Cibao",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","floral, roasted cacao, dirty"
1446,Raphio,U.S.A.,2019,Nicaragua,Matagalpa,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","grassy, earthy, roasty, dirty"
1449,Letterpress,U.S.A.,2019,Jamaica,"Bachelor's Hall, batch 0001",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","woody, mocha, molasses"
1450,Moka Origins,U.S.A.,2019,Dominican Republic,Zorzal Estate,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","dark berry, earthy"
1458,Wm,U.S.A.,2019,Venezuela,Porcelana,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","intense, creamy, nutty"
1459,Moka Origins,U.S.A.,2019,Sierra Leone,Gola Rainforest,0.72,Mid percent,3,3,3.0,Mid-level,"B,S,C","roasty, honey, sweet"
1460,ENNA,U.S.A.,2019,Sierra Leone,Gola Rainforest,0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","dirty, earthy, burnt, honey"
1461,ENNA,U.S.A.,2019,Tanzania,Kokoa Kamili,0.8,High percent,3,3,3.0,Mid-level,"B,S,C","fruit, dirty"
1462,ENNA,U.S.A.,2019,Trinidad,"Maiden Voyage Estate, Herbert Pasqual",0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","muddy, raisins, nut, rubbery"
1464,River-Sea,U.S.A.,2019,Fiji,"Vanua Levu, Matasawalevu",0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","fatty, rubbery, nutty"
1465,River-Sea,U.S.A.,2019,Peru,Ucayali,0.7,Mid percent,3,3,2.5,Mid-level,"B,S,C","fatty, rubbery, off"
1466,Castronovo,U.S.A.,2019,Puerto Rico,Puerto Rico,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","smooth, mellow, floral"
1468,Terroir,U.S.A.,2019,Belize,Maya Mountain,0.77,High percent,3,3,3.0,Mid-level,"B,S,C","berries, licorice, cocoa,bitter"
1469,Tiny House,U.S.A.,2019,Tanzania,Kokoa Kamili,0.71,Mid percent,2,2,2.75,Mid-level,"B,S","bland, mild honey, sour"
1470,Eclat (Fruition),U.S.A.,2019,Peru,"NOE, nacional/criollo, batch 1",0.8,High percent,2,2,3.5,Mid-level,"B,S","nutty, almond butter"
1475,Fruition,U.S.A.,2019,Colombia,"Tumaco, batch 2",0.85,High percent,2,2,3.5,Mid-level,"B,S","black current,bitter,astringent"
1476,Shane Chocolate Works,U.S.A.,2019,Belize,Belize,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C",full cocoa flavor
1484,Shane Chocolate Works,U.S.A.,2019,Guatemala,Guatemala,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","spicy, rich cocoa, sweet"
1485,Shane Chocolate Works,U.S.A.,2019,Colombia,Colombia,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","black pepper, astringent"
1486,Terroir,U.S.A.,2019,Bolivia,Alto Beni,0.77,High percent,3,3,3.25,Mid-level,"B,S,C","muted, roasted banana"
1488,Terroir,U.S.A.,2019,Haiti,Haiti,0.72,Mid percent,3,3,2.75,Mid-level,"B,S,C","harsh, tobacco"
1491,Hazel Hill,U.S.A.,2019,Tanzania,Kokoa Kamili,0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","cocoa, fatty, fruit"
1492,Hazel Hill,U.S.A.,2019,Dominican Republic,Oko Caribe,0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","earthy, dirty, dried fruit"
1495,Hazel Hill,U.S.A.,2019,Peru,Maranon,0.65,Mid percent,3,3,2.75,Mid-level,"B,S,C","pungent, chemical"
1496,Mindo,U.S.A.,2019,Ecuador,"Ecuador, lot# 181220",0.67,Mid percent,3,3,2.75,Mid-level,"B,S,C","sandy, harsh, floral"
1497,Eldora,U.S.A.,2019,Guatemala,"Polochic, batch 711",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","cocoa, fig notes"
1501,Dandelion,U.S.A.,2019,Vietnam,"Ben Tre, 2018 Harvest",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","green apple, sticky"
1503,Double Spiral,U.S.A.,2019,Dominican Republic,Oko Caribe,0.75,High percent,2,2,2.5,Mid-level,"B,S","dry, earthy, walnut"
1504,Double Spiral,U.S.A.,2019,Tanzania,Kokoa Kamili,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","dry, sour, sweet, mild fruit"
1505,Double Spiral,U.S.A.,2019,Dominican Republic,Hispaniola,0.75,High percent,2,2,3.0,Mid-level,"B,S","dry, cocoa, grassy, spicy"
1507,Ninth (9th) & Larkin,U.S.A.,2019,Colombia,"Sierra Nevada, batch CSN192",0.72,Mid percent,3,3,3.25,Mid-level,"B,S,C","strong base cocoa, rubber"
1521,Original Hawaiin Chocolate Factory,U.S.A.,2006,U.S.A.,"Hawai'i Island, Kona Estate, Hualalai Mtn",0.6,Mid percent,5,5,3.0,Mid-level,"B,S,C,V,L","muddy, pastey, sweet, vanilla"
1528,Wm,U.S.A.,2019,Belize,"Maya Mountain, 2017, batch 255",0.68,Mid percent,3,3,3.25,Mid-level,"B,S,C","flat, molasses, creamy"
1534,DeVries,U.S.A.,2008,Bolivia,Bolivian,0.8,High percent,2,2,2.75,Mid-level,"B,S","intense fruit, bitter ending"
1542,Thistle & Rose aka Aggie USU,U.S.A.,2019,Ecuador,"Costa Esmeraldas, 2017 h., batch 28",0.7,Mid percent,2,2,3.5,Mid-level,"B,S","pure, bold, floral"
1546,Ritual,U.S.A.,2019,Trinidad,"Jagassar Estate, Moruga Region, microlot",0.8,High percent,2,2,3.5,Mid-level,"B,S","rich brownie, dried fruit"
1548,Bixby,U.S.A.,2019,Belize,Belize,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","off, rubbery, burnt molasses"
1549,Chequessett,U.S.A.,2019,Ecuador,Costa Esmeraldas,0.72,Mid percent,3,3,3.5,Mid-level,"B,S,C","sl. chalky, floral, pure"
1552,La Cascade du Chocolat,U.S.A.,2019,Fiji,"Fiji, batch 51019",0.68,Mid percent,3,3,3.0,Mid-level,"B,S,C","unrefined, sweet, basic cocoa"
1553,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Uganda,Uganda,0.75,High percent,3,3,2.5,Mid-level,"B,S,C","gritty, roasty, rubbery"
1555,French Broad,U.S.A.,2019,India,"Animalai, batch 1063",0.71,Mid percent,3,3,3.25,Mid-level,"B,S,C","tea, spicy, sweet"
1556,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Ghana,Ghana,0.75,High percent,3,3,2.75,Mid-level,"B,S,C","gritty, cocoa base, ashey"
1562,Dick Taylor,U.S.A.,2019,Madagascar,"Akesson P., Sambirano",0.72,Mid percent,2,2,3.75,Mid-level,"B,S","sticky, dried fruit, toast, cocoa"
1567,Letterpress,U.S.A.,2019,Bolivia,"Tranquilidad, beniano",0.7,Mid percent,3,3,3.25,Mid-level,"B,S,C","spoiled milk, sweet, molasses"
1568,Manoa,U.S.A.,2019,U.S.A.,"Hawai'i Island, Hilo and Kona regions",0.7,Mid percent,3,3,3.5,Mid-level,"B,S,C","dried fruit,spicy,sticky,intense"
1571,Goodnow Farms,U.S.A.,2019,Colombia,Boyaca,0.73,Mid percent,3,3,2.5,Mid-level,"B,S,C","acidic, mildly burnt, metallic"
1572,Goodnow Farms,U.S.A.,2019,Costa Rica,Coto Brus ,0.73,Mid percent,3,3,3.0,Mid-level,"B,S,C","floral, rubbery, woody"
1573,Seahorse,U.S.A.,2019,Fiji,Matasawalevu,0.7,Mid percent,2,2,2.75,Mid-level,"B,S","sharp, raw, metallic"
1574,Seahorse,U.S.A.,2019,Uganda,Semuliki Forest,0.7,Mid percent,2,2,3.5,Mid-level,"B,S","cocoa, roasty, sticky"
1580,Arete,U.S.A.,2019,India,Idukki,0.7,Mid percent,3,3,3.0,Mid-level,"B,S,C","burn butterscotch, rubbery"
